food_key,food_description,food_category,allowed_no_restriction,allowed_vegetarian,allowed_vegan,allowed_pescatarian,allowed_halal_friendly,allowed_kosher_style,allowed_gluten_free,allowed_lactose_free,allowed_nut_free,allowed_low_sodium_aware,blocked_profiles
beef new zealand imported cube roll separable lean only raw,"Beef, New Zealand, imported, cube roll, separable lean only, raw",Beef Products,1,0,0,0,1,1,1,1,1,1,vegetarian|vegan|pescatarian
beef new zealand imported eye round separable lean only raw,"Beef, New Zealand, imported, eye round, separable lean only, raw",Beef Products,1,0,0,0,1,1,1,1,1,1,vegetarian|vegan|pescatarian
beef new zealand imported flank separable lean only raw,"Beef, New Zealand, imported, flank, separable lean only, raw",Beef Products,1,0,0,0,1,1,1,1,1,1,vegetarian|vegan|pescatarian
beef new zealand imported flat separable lean only raw,"Beef, New Zealand, imported, flat, separable lean only, raw",Beef Products,1,0,0,0,1,1,1,1,1,1,vegetarian|vegan|pescatarian
beef new zealand imported hind shin separable lean only raw,"Beef, New Zealand, imported, hind shin, separable lean only, raw",Beef Products,1,0,0,0,1,1,1,1,1,1,vegetarian|vegan|pescatarian
beef new zealand imported inside raw,"Beef, New Zealand, imported, inside, raw",Beef Products,1,0,0,0,1,1,1,1,1,1,vegetarian|vegan|pescatarian
beef new zealand imported intermuscular fat raw,"Beef, New Zealand, imported, intermuscular fat, raw",Beef Products,1,0,0,0,1,1,1,1,1,1,vegetarian|vegan|pescatarian
beef new zealand imported manufacturing beef raw,"Beef, New Zealand, imported, manufacturing beef, raw",Beef Products,1,0,0,0,1,1,1,1,1,1,vegetarian|vegan|pescatarian
beef new zealand imported oyster blade separable lean only raw,"Beef, New Zealand, imported, oyster blade, separable lean only, raw",Beef Products,1,0,0,0,1,0,1,1,1,1,vegetarian|vegan|pescatarian|kosher style
beef new zealand imported rump centre separable lean only raw,"Beef, New Zealand, imported, rump centre, separable lean only, raw",Beef Products,1,0,0,0,1,1,1,1,1,1,vegetarian|vegan|pescatarian
