nutrient,unit,life_stage,sex,source_agency,recommended_value,upper_limit_value,source_url,notes
Selenium,g,Adults,Male,DRI,,400.0,https://www.ncbi.nlm.nih.gov/books/NBK545442/table/appJ_tab9/?report=objectonly,Auto-imported from DRI UL table
Sodium,mg,Adults,Female,DGE,1500.0,,https://www.dge.de/wissenschaft/referenzwerte/natrium/,Auto-imported from DGE nutrient page
Sodium,mg,Adults,Male,DGE,1500.0,,https://www.dge.de/wissenschaft/referenzwerte/natrium/,Auto-imported from DGE nutrient page
Sodium,mg,Adults,All,DRI,1500.0,,https://www.ncbi.nlm.nih.gov/books/NBK545442/table/appJ_tab3/?report=objectonly,Auto-imported from DRI table
Sodium,mg,Adults,Female,DRI,1500.0,,https://www.ncbi.nlm.nih.gov/books/NBK545442/table/appJ_tab3/?report=objectonly,Auto-imported from DRI table
Sodium,mg,Adults,Male,DRI,1500.0,,https://www.ncbi.nlm.nih.gov/books/NBK545442/table/appJ_tab3/?report=objectonly,Auto-imported from DRI table
Thiamin,mg,Adults,Female,DGE,10.0,,https://www.dge.de/wissenschaft/referenzwerte/thiamin/,Auto-imported from DGE nutrient page
Thiamin,mg,Adults,Male,DGE,13.0,,https://www.dge.de/wissenschaft/referenzwerte/thiamin/,Auto-imported from DGE nutrient page
Thiamin,mg,Adults,All,DRI,1.4,,https://www.ncbi.nlm.nih.gov/books/NBK56068/table/summarytables.t2/?report=objectonly,Auto-imported from DRI table
Thiamin,mg,Adults,Female,DRI,1.1,,https://www.ncbi.nlm.nih.gov/books/NBK56068/table/summarytables.t2/?report=objectonly,Auto-imported from DRI table
Thiamin,mg,Adults,Male,DRI,1.2,,https://www.ncbi.nlm.nih.gov/books/NBK56068/table/summarytables.t2/?report=objectonly,Auto-imported from DRI table
Vitamin A,ug,Adults,Female,DGE,700.0,,https://www.dge.de/wissenschaft/referenzwerte/vitamin-a/,Auto-imported from DGE nutrient page
Vitamin A,ug,Adults,Male,DGE,850.0,,https://www.dge.de/wissenschaft/referenzwerte/vitamin-a/,Auto-imported from DGE nutrient page
Vitamin A,g,Adults,All,DRI,,3000.0,https://www.ncbi.nlm.nih.gov/books/NBK56068/table/summarytables.t7/?report=objectonly,Auto-imported from DRI UL table
Vitamin A,g,Adults,Female,DRI,,3000.0,https://www.ncbi.nlm.nih.gov/books/NBK56068/table/summarytables.t7/?report=objectonly,Auto-imported from DRI UL table
Vitamin A,g,Adults,Male,DRI,,3000.0,https://www.ncbi.nlm.nih.gov/books/NBK56068/table/summarytables.t7/?report=objectonly,Auto-imported from DRI UL table
Vitamin B12,ug,Adults,Female,DGE,40.0,,https://www.dge.de/wissenschaft/referenzwerte/vitamin-b12/,Auto-imported from DGE nutrient page
Vitamin B12,ug,Adults,Male,DGE,40.0,,https://www.dge.de/wissenschaft/referenzwerte/vitamin-b12/,Auto-imported from DGE nutrient page
Vitamin B6,mg,Adults,Female,DGE,14.0,,https://www.dge.de/wissenschaft/referenzwerte/vitamin-b6/,Auto-imported from DGE nutrient page
Vitamin B6,mg,Adults,Male,DGE,16.0,,https://www.dge.de/wissenschaft/referenzwerte/vitamin-b6/,Auto-imported from DGE nutrient page
Vitamin C,mg,Adults,Female,DGE,95.0,,https://www.dge.de/wissenschaft/referenzwerte/vitamin-c/,Auto-imported from DGE nutrient page
Vitamin C,mg,Adults,Male,DGE,110.0,,https://www.dge.de/wissenschaft/referenzwerte/vitamin-c/,Auto-imported from DGE nutrient page
